,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected
505,Suspected Physical Attack,2011,12/13/2011,03:19:00,12/14/2011,03:19:00,Dayton Power & Light,Clinton County Ohio,RFC,,0
506,Suspected Physical Attack,2011,12/8/2011,08:45:00,12/8/2011,16:30:00,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,
509,Suspected Physical Attack,2011,12/6/2011,17:38:00,12/7/2011,11:04:00,ITC Holdings,"Montague, Michigan",RFC,0,0
510,Suspected Physical Attack,2011,12/5/2011,14:00:00,12/6/2011,17:00:00,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,
511,Suspected Physical Attack,2011,12/2/2011,16:15:00,12/2/2011,20:30:00,Luminant Energy Company LLC,Rusk County Texas,TRE,,
515,Vandalism,2011,11/30/2011,10:00:00,11/30/2011,11:00:00,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0
517,Suspected Physical Attack,2011,11/22/2011,23:16:00,11/22/2011,23:16:00,Northern Indiana Public Service Co,Indiana,RFC,0,0
518,Vandalism,2011,11/14/2011,14:24:00,11/14/2011,14:24:00,Atlantic City Electric,"McKee, New Jersey",RFC,0,0
519,Vandalism,2011,11/13/2011,11:30:00,11/13/2011,12:00:00,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0
520,Vandalism,2011,11/4/2011,10:46:00,11/4/2011,10:46:00,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0
532,Vandalism,2011,10/27/2011,01:00:00,10/27/2011,02:36:00,Midwest ISO,"Munster, Indiana",RFC,,
534,Suspected Physical Attack,2011,10/24/2011,23:37:00,10/26/2011,23:00:00,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0
535,Vandalism,2011,10/20/2011,07:15:00,10/20/2011,07:15:00,Atlantic City Electric,"McKee, New Jersey",RFC,0,0
536,Suspected Physical Attack,2011,10/18/2011,03:45:00,10/18/2011,05:25:00,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0
537,Vandalism,2011,10/17/2011,15:44:00,10/17/2011,15:44:00,Duke Energy,Southwest Ohio,RFC,7,"2,000"
538,Vandalism,2011,10/17/2011,03:34:00,10/17/2011,10:42:00,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0
539,Vandalism,2011,10/14/2011,14:20:00,10/14/2011,14:20:00,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0
540,Suspected Physical Attack,2011,10/7/2011,08:04:00,10/7/2011,16:00:00,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,,
